n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
64,128,2,cx_heavy,690,670,20,0.028985507246376812,0.00479435920715332,0.37334227561950684
64,128,0,cx_heavy,718,697,21,0.02924791086350975,0.004786252975463867,0.3581054210662842
64,128,1,cx_heavy,720,708,12,0.016666666666666666,0.004940509796142578,0.4964478015899658
64,128,4,cx_heavy,768,750,18,0.0234375,0.006572246551513672,0.39697957038879395
64,128,6,cx_heavy,700,682,18,0.025714285714285714,0.014281034469604492,0.40296435356140137
64,128,5,cx_heavy,758,739,19,0.025065963060686015,0.004838466644287109,0.32335710525512695
64,128,7,cx_heavy,711,700,11,0.015471167369901548,0.004769086837768555,0.35645532608032227
64,128,3,cx_heavy,740,722,18,0.024324324324324326,0.006334066390991211,0.5776097774505615
64,128,8,cx_heavy,640,630,10,0.015625,0.0033693313598632812,0.4457581043243408
64,128,10,cx_heavy,669,649,20,0.029895366218236172,0.00475621223449707,0.40677332878112793
64,128,9,cx_heavy,710,692,18,0.02535211267605634,0.005858182907104492,0.34124326705932617
64,128,11,cx_heavy,725,705,20,0.027586206896551724,0.006541252136230469,0.403653621673584
64,128,13,cx_heavy,703,686,17,0.02418207681365576,0.005962371826171875,0.42780447006225586
64,128,12,cx_heavy,716,701,15,0.02094972067039106,0.003482341766357422,0.28864550590515137
64,128,15,cx_heavy,710,686,24,0.03380281690140845,0.0031609535217285156,0.22375202178955078
64,128,16,cx_heavy,709,697,12,0.01692524682651622,0.00321197509765625,0.2281949520111084
64,128,14,cx_heavy,730,695,35,0.04794520547945205,0.005824089050292969,0.2410588264465332
64,128,17,cx_heavy,734,718,16,0.021798365122615803,0.005900859832763672,0.41774749755859375
64,128,19,cx_heavy,706,670,36,0.05099150141643059,0.0034673213958740234,0.37302494049072266
64,128,18,cx_heavy,744,732,12,0.016129032258064516,0.0031647682189941406,0.3879826068878174
64,128,25,cx_heavy,688,679,9,0.01308139534883721,0.007846593856811523,0.2971210479736328
64,128,20,cx_heavy,713,692,21,0.029453015427769985,0.005671501159667969,0.31748127937316895
64,128,23,cx_heavy,723,714,9,0.012448132780082987,0.009612083435058594,0.2551300525665283
64,128,21,cx_heavy,658,650,8,0.0121580547112462,0.004586458206176758,0.413332462310791
64,128,22,cx_heavy,746,727,19,0.02546916890080429,0.009907245635986328,0.38637781143188477
64,128,24,cx_heavy,717,705,12,0.016736401673640166,0.00658106803894043,0.48224544525146484
64,128,26,cx_heavy,689,676,13,0.018867924528301886,0.004620790481567383,0.3863992691040039
64,128,28,cx_heavy,711,694,17,0.02390998593530239,0.004801750183105469,0.4758744239807129
64,128,27,cx_heavy,752,733,19,0.02526595744680851,0.003553152084350586,0.48914337158203125
64,128,30,cx_heavy,669,654,15,0.02242152466367713,0.004645824432373047,0.35719728469848633
64,128,29,cx_heavy,701,687,14,0.019971469329529243,0.008103370666503906,0.2921488285064697
64,128,31,cx_heavy,716,691,25,0.034916201117318434,0.004667520523071289,0.3532707691192627
64,128,32,cx_heavy,734,725,9,0.01226158038147139,0.004815816879272461,0.35376620292663574
64,128,34,cx_heavy,730,716,14,0.019178082191780823,0.0039327144622802734,0.27799487113952637
64,128,33,cx_heavy,740,721,19,0.025675675675675677,0.003218412399291992,0.43291568756103516
64,128,35,cx_heavy,703,677,26,0.03698435277382646,0.006568193435668945,0.4174647331237793
64,128,37,cx_heavy,671,654,17,0.02533532041728763,0.004909038543701172,0.3603029251098633
64,128,38,cx_heavy,732,720,12,0.01639344262295082,0.005751609802246094,0.3956732749938965
64,128,36,cx_heavy,702,688,14,0.019943019943019943,0.0065174102783203125,0.42669224739074707
64,128,39,cx_heavy,761,744,17,0.022339027595269383,0.0062749385833740234,0.39233946800231934
64,128,40,cx_heavy,757,733,24,0.031704095112285335,0.0033555030822753906,0.3553483486175537
64,128,41,cx_heavy,718,697,21,0.02924791086350975,0.005233049392700195,0.3545675277709961
64,128,43,cx_heavy,699,688,11,0.015736766809728183,0.0031485557556152344,0.3500666618347168
64,128,42,cx_heavy,741,724,17,0.022941970310391364,0.006354808807373047,0.46572184562683105
64,128,44,cx_heavy,764,743,21,0.0274869109947644,0.004728078842163086,0.4160749912261963
64,128,46,cx_heavy,778,759,19,0.02442159383033419,0.003251791000366211,0.26989054679870605
64,128,48,cx_heavy,686,665,21,0.030612244897959183,0.005967617034912109,0.28841662406921387
64,128,45,cx_heavy,759,742,17,0.022397891963109356,0.004973649978637695,0.49092578887939453
64,128,49,cx_heavy,702,687,15,0.021367521367521368,0.004776477813720703,0.3252217769622803
64,128,50,cx_heavy,744,721,23,0.030913978494623656,0.005544900894165039,0.35897397994995117
64,128,47,cx_heavy,674,664,10,0.01483679525222552,0.004769802093505859,0.42542147636413574
64,128,51,cx_heavy,744,725,19,0.025537634408602152,0.006429195404052734,0.43814754486083984
64,128,52,cx_heavy,675,665,10,0.014814814814814815,0.0033597946166992188,0.3692145347595215
64,128,54,cx_heavy,722,708,14,0.019390581717451522,0.004920005798339844,0.4089794158935547
64,128,56,cx_heavy,691,672,19,0.027496382054992764,0.005010366439819336,0.41503286361694336
64,128,55,cx_heavy,674,659,15,0.02225519287833828,0.005031585693359375,0.4748563766479492
64,128,58,cx_heavy,735,715,20,0.027210884353741496,0.004915714263916016,0.42107653617858887
64,128,59,cx_heavy,684,665,19,0.027777777777777776,0.004961490631103516,0.3530275821685791
