Code,Circuit Type,Optimization Criterion,Rollout,t1,t2,ET,Two-qubit gates,Depth,Source File,Output File
8_3_3,encoder,gates,2,40.0,8.0,true,12,8,"results_new/8_3_3_lookahead2_candidates[40,8]_reduction5_earlytermtrue_gates.txt",best_circuits/8_3_3/encoder_optgates.stim
15_1_3,encoder,gates,2,10.0,2.0,false,24,5,"results_new/15_1_3_lookahead2_candidates[10,2]_reduction5_earlytermfalse_gates.txt",best_circuits/15_1_3/encoder_optgates.stim
15_3_5,encoder,gates,2,30.0,6.0,false,36,11,"results_new/15_3_5_lookahead2_candidates[30,6]_reduction5_earlytermfalse_gates.txt",best_circuits/15_3_5/encoder_optgates.stim
15_7_3,encoder,gates,2,50.0,10.0,false,28,7,"results_new/15_7_3_lookahead2_candidates[50,10]_reduction5_earlytermfalse_gates.txt",best_circuits/15_7_3/encoder_optgates.stim
17_1_5,encoder,gates,2,10.0,5.0,false,25,5,"results_new/17_1_5_lookahead2_candidates[10,5]_reduction2_earlytermfalse_gates.txt",best_circuits/17_1_5/encoder_optgates.stim
19_1_5,encoder,gates,2,20.0,10.0,false,29,6,"results_new/19_1_5_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/19_1_5/encoder_optgates.stim
23_1_7,encoder,gates,2,40.0,8.0,false,49,10,"results_new/23_1_7_lookahead2_candidates[40,8]_reduction5_earlytermfalse_gates.txt",best_circuits/23_1_7/encoder_optgates.stim
30_6_5,encoder,gates,2,30.0,15.0,false,82,13,"results_new/30_6_5_lookahead2_candidates[30,15]_reduction2_earlytermfalse_gates.txt",best_circuits/30_6_5/encoder_optgates.stim
31_1_7,encoder,gates,2,20.0,10.0,false,47,6,"results_new/31_1_7_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/31_1_7/encoder_optgates.stim
31_21_3,encoder,gates,2,50.0,25.0,false,94,18,"results_new/31_21_3_lookahead2_candidates[50,25]_reduction2_earlytermfalse_gates.txt",best_circuits/31_21_3/encoder_optgates.stim
37_1_7,encoder,gates,2,20.0,4.0,false,60,8,"results_new/37_1_7_lookahead2_candidates[20,4]_reduction5_earlytermfalse_gates.txt",best_circuits/37_1_7/encoder_optgates.stim
72_12_6,encoder,gates,2,10.0,5.0,false,239,40,"results_new/72_12_6_lookahead2_candidates[10,5]_reduction2_earlytermfalse_gates.txt",best_circuits/72_12_6/encoder_optgates.stim
90_8_10,encoder,gates,2,20.0,4.0,false,178,23,"results_new/90_8_10_lookahead2_candidates[20,4]_reduction5_earlytermfalse_gates.txt",best_circuits/90_8_10/encoder_optgates.stim
108_8_10,encoder,gates,1,50.0,,false,367,62,results_new/108_8_10_lookahead1_candidates50_earlytermfalse_gates.txt,best_circuits/108_8_10/encoder_optgates.stim
144_12_12,encoder,gates,1,40.0,,false,544,110,results_new/144_12_12_lookahead1_candidates40_earlytermfalse_gates.txt,best_circuits/144_12_12/encoder_optgates.stim
8_3_3,encoder,depth,1,10.0,,false,14,5,results_new/8_3_3_lookahead1_candidates10_earlytermfalse_depth.txt,best_circuits/8_3_3/encoder_optdepth.stim
15_1_3,encoder,depth,0,,,,24,4,results_new/15_1_3_lookahead0_depth.txt,best_circuits/15_1_3/encoder_optdepth.stim
15_3_5,encoder,depth,2,40.0,20.0,true,43,10,"results_new/15_3_5_lookahead2_candidates[40,20]_reduction2_earlytermtrue_depth.txt",best_circuits/15_3_5/encoder_optdepth.stim
15_7_3,encoder,depth,2,30.0,15.0,true,31,6,"results_new/15_7_3_lookahead2_candidates[30,15]_reduction2_earlytermtrue_depth.txt",best_circuits/15_7_3/encoder_optdepth.stim
17_1_5,encoder,depth,0,,,,25,5,results_new/17_1_5_lookahead0_depth.txt,best_circuits/17_1_5/encoder_optdepth.stim
19_1_5,encoder,depth,1,10.0,,false,29,5,results_new/19_1_5_lookahead1_candidates10_earlytermfalse_depth.txt,best_circuits/19_1_5/encoder_optdepth.stim
23_1_7,encoder,depth,1,100.0,,false,53,8,results_new/23_1_7_lookahead1_candidates100_earlytermfalse_depth.txt,best_circuits/23_1_7/encoder_optdepth.stim
30_6_5,encoder,depth,2,30.0,6.0,false,95,9,"results_new/30_6_5_lookahead2_candidates[30,6]_reduction5_earlytermfalse_depth.txt",best_circuits/30_6_5/encoder_optdepth.stim
31_1_7,encoder,depth,2,50.0,25.0,true,48,5,"results_new/31_1_7_lookahead2_candidates[50,25]_reduction2_earlytermtrue_depth.txt",best_circuits/31_1_7/encoder_optdepth.stim
31_21_3,encoder,depth,1,10.0,,false,109,11,results_new/31_21_3_lookahead1_candidates10_earlytermfalse_depth.txt,best_circuits/31_21_3/encoder_optdepth.stim
37_1_7,encoder,depth,2,30.0,6.0,false,63,6,"results_new/37_1_7_lookahead2_candidates[30,6]_reduction5_earlytermfalse_depth.txt",best_circuits/37_1_7/encoder_optdepth.stim
72_12_6,encoder,depth,1,50.0,,false,261,19,results_new/72_12_6_lookahead1_candidates50_earlytermfalse_depth.txt,best_circuits/72_12_6/encoder_optdepth.stim
90_8_10,encoder,depth,1,50.0,,false,183,12,results_new/90_8_10_lookahead1_candidates50_earlytermfalse_depth.txt,best_circuits/90_8_10/encoder_optdepth.stim
108_8_10,encoder,depth,2,40.0,8.0,true,667,24,"results_new/108_8_10_lookahead2_candidates[40,8]_reduction5_earlytermtrue_depth.txt",best_circuits/108_8_10/encoder_optdepth.stim
144_12_12,encoder,depth,1,200.0,,true,1081,29,results_new/144_12_12_lookahead1_candidates200_earlytermtrue_depth.txt,best_circuits/144_12_12/encoder_optdepth.stim
8_3_3,plus,gates,1,10.0,,true,9,5,stateprep/8_3_3_plus_lookahead1_candidates10_earlytermtrue_gates.txt,best_circuits/8_3_3/plus_optgates.stim
8_3_3,zero,gates,2,20.0,4.0,false,11,8,"stateprep/8_3_3_zero_lookahead2_candidates[20,4]_reduction5_earlytermfalse_gates.txt",best_circuits/8_3_3/zero_optgates.stim
15_1_3,plus,gates,2,30.0,6.0,false,23,5,"stateprep/15_1_3_plus_lookahead2_candidates[30,6]_reduction5_earlytermfalse_gates.txt",best_circuits/15_1_3/plus_optgates.stim
15_1_3,zero,gates,2,10.0,2.0,false,22,5,"stateprep/15_1_3_zero_lookahead2_candidates[10,2]_reduction5_earlytermfalse_gates.txt",best_circuits/15_1_3/zero_optgates.stim
15_3_5,plus,gates,2,30.0,15.0,false,31,12,"stateprep/15_3_5_plus_lookahead2_candidates[30,15]_reduction2_earlytermfalse_gates.txt",best_circuits/15_3_5/plus_optgates.stim
15_3_5,zero,gates,2,20.0,10.0,false,36,13,"stateprep/15_3_5_zero_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/15_3_5/zero_optgates.stim
15_7_3,plus,gates,2,10.0,2.0,false,22,5,"stateprep/15_7_3_plus_lookahead2_candidates[10,2]_reduction5_earlytermfalse_gates.txt",best_circuits/15_7_3/plus_optgates.stim
15_7_3,zero,gates,2,10.0,2.0,false,22,5,"stateprep/15_7_3_zero_lookahead2_candidates[10,2]_reduction5_earlytermfalse_gates.txt",best_circuits/15_7_3/zero_optgates.stim
17_1_5,plus,gates,2,20.0,10.0,false,23,4,"stateprep/17_1_5_plus_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/17_1_5/plus_optgates.stim
17_1_5,zero,gates,2,20.0,10.0,false,23,4,"stateprep/17_1_5_zero_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/17_1_5/zero_optgates.stim
19_1_5,plus,gates,2,20.0,10.0,false,27,4,"stateprep/19_1_5_plus_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/19_1_5/plus_optgates.stim
19_1_5,zero,gates,2,20.0,10.0,false,27,4,"stateprep/19_1_5_zero_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/19_1_5/zero_optgates.stim
23_1_7,plus,gates,2,50.0,25.0,false,45,10,"stateprep/23_1_7_plus_lookahead2_candidates[50,25]_reduction2_earlytermfalse_gates.txt",best_circuits/23_1_7/plus_optgates.stim
23_1_7,zero,gates,2,50.0,25.0,false,45,10,"stateprep/23_1_7_zero_lookahead2_candidates[50,25]_reduction2_earlytermfalse_gates.txt",best_circuits/23_1_7/zero_optgates.stim
30_6_5,plus,gates,2,20.0,10.0,false,62,11,"stateprep/30_6_5_plus_lookahead2_candidates[20,10]_reduction2_earlytermfalse_gates.txt",best_circuits/30_6_5/plus_optgates.stim
